자치구(1),자치구(2),2023_20년~30년미만_계,2023_20년~30년미만_단독주택,2023_20년~30년미만_아파트,2023_20년~30년미만_연립주택,2023_20년~30년미만_다세대주택,2023_20년~30년미만_비주거용 건물내주택,2023_30년이상_계,2023_30년이상_단독주택,2023_30년이상_아파트,2023_30년이상_연립주택,2023_30년이상_다세대주택,2023_30년이상_비주거용 건물내주택
서울시,소계,945553,60570,602154,44712,232495,5622,820267,204533,423038,49501,127077,16118
서울시,종로구,16348,1824,4343,2202,7784,195,15977,8675,2776,2775,1252,499
서울시,중구,16610,932,11137,1182,3181,178,9239,4518,2638,592,964,527
서울시,용산구,23920,2176,14739,1806,5104,95,25029,10567,8568,1227,4204,463
서울시,성동구,37208,1748,31537,358,3377,188,17561,7224,6764,1346,1571,656
서울시,광진구,31308,3988,15832,1846,9400,242,22130,9015,7542,1834,2834,905
서울시,동대문구,33139,2971,26151,890,2885,242,22516,11999,6190,1472,1854,1001
서울시,중랑구,39808,3610,28688,1308,5915,287,23805,12258,5600,2438,2586,923
서울시,성북구,45146,3953,29606,2643,8617,327,25463,15324,2651,2726,4075,687
서울시,강북구,25776,3847,7710,2116,11920,183,32058,12040,7918,1956,9501,643
서울시,도봉구,39741,2193,25915,1712,9786,135,44591,5545,31340,1672,5571,463
서울시,노원구,68208,1336,59727,2066,4879,200,99028,4208,90559,775,3146,340
서울시,은평구,37730,2337,10717,2788,21646,242,30579,10743,4263,2397,12421,755
서울시,서대문구,35226,2100,22237,2599,8088,202,25105,9227,6515,2163,6659,541
서울시,마포구,35177,2974,22152,1238,8457,356,25520,6658,8142,1419,8615,686
서울시,양천구,45571,1580,32121,1293,10404,173,51797,5447,32256,2071,11509,514
서울시,강서구,72688,2390,43739,1670,24611,278,38610,6295,22976,2262,6443,634
서울시,구로구,53293,1845,39589,1572,10144,143,29436,8741,11648,4849,3670,528
서울시,금천구,18861,1216,11078,1325,5183,59,18168,6693,6655,2257,2252,311
서울시,영등포구,34181,2276,28004,384,3400,117,34814,10327,21253,881,1617,736
서울시,동작구,40901,2068,27389,2578,8669,197,26210,9937,7648,1815,6258,552
서울시,관악구,45810,4481,25288,3563,11983,495,33258,12119,7824,2034,10563,718
서울시,서초구,31782,1714,20452,2385,6973,258,29209,2740,19168,2343,4317,641
서울시,강남구,41902,3068,22475,2501,13432,426,58670,2336,50105,2060,3473,696
서울시,송파구,45061,2008,21246,1494,20071,242,55482,5228,39141,2504,7596,1013
서울시,강동구,30158,1935,20282,1193,6586,162,26012,6669,12898,1633,4126,686
