시도명,구명,20년~30년미만_주택수,30년이상_주택수
서울시,소계,945553,820267
서울시,종로구,16348,15977
서울시,중구,16610,9239
서울시,용산구,23920,25029
서울시,성동구,37208,17561
서울시,광진구,31308,22130
서울시,동대문구,33139,22516
서울시,중랑구,39808,23805
서울시,성북구,45146,25463
서울시,강북구,25776,32058
서울시,도봉구,39741,44591
서울시,노원구,68208,99028
서울시,은평구,37730,30579
서울시,서대문구,35226,25105
서울시,마포구,35177,25520
서울시,양천구,45571,51797
서울시,강서구,72688,38610
서울시,구로구,53293,29436
서울시,금천구,18861,18168
서울시,영등포구,34181,34814
서울시,동작구,40901,26210
서울시,관악구,45810,33258
서울시,서초구,31782,29209
서울시,강남구,41902,58670
서울시,송파구,45061,55482
서울시,강동구,30158,26012
